,Title,Content
382,'비자금 집단' 꼬리표 끊지 못하는 DGB 대구은행…자정능력 상실,"  DGB 대구은행 본점. '비자금 전문 집단'. DGB 금융그룹과 대구은행에 따라붙는 꼬리표다. 박인규 전 DGB 금융지주 회장 겸 대구은행장이 악몽을 안겼는데, 이번에는 김태오 DGB 금융그룹 회장과 임원이 바통을 이어받았다. 대구은행 관계자는 ""부끄러워서 고개를 들 수가 없다. 자정능력 자체를 상실한 것 같다...  "
383,"대구은행, 마이데이터 기반 개인자산관리 서비스 실시","  DGB대구은행은 마이데이터 기반 개인자산관리 서비스를 오픈했다고 2일 밝혔다. 이를 기념해 5성급 호텔 숙박권, 스마트 워치 등을 매일 추첨 증정하는 기념 이벤트도 실시한다. 통합된 금융데이터를 확보하고 축적해 종합적으로 활용하는 마이데이터는 정보 주체인 고객이 동의하면 전 금융기관에 분산돼 있는...  "
384,"DGB대구은행 – 대구광역시- 경상북도, 지역 소상공인활성화 지원 협약","  DGB대구은행(은행장 임성훈)과 대구광역시(시장 권영진), 경상북도(도지사 이철우)는 8일(수) 수성동 DGB대구은행 본점에서 '코로나 극복 및 대구·경북지역 소상공인 활성화를 위한 3자 업무협약식'을 진행했다고 밝혔다. 본 협약은 민관 상생협력을 기반으로 코로나19로 어려움을 겪고 있는 대구경북 소상공인...  "
385,"DGB대구은행, 국가고객만족도(NCSI) 지방은행 1위 기업 선정",  DGB대구은행(은행장 임성훈)은 한국생산성본부가 주관하는 21년 국가고객만족도(NCSI) 조사에서 지방은행 1위 기업으로 선정됐다. 국가고객만족도(NCSI)는 한국생산성본부와 미국 미시간 대학이 공동 개발한 고객만족 측정 지표로 미국고객만족도(ACSI)와 동일한 측정 방법을 이용해 대표성과 신뢰성을...  
386,"DGB대구은행, 2021 독도사랑 후원금 전달","  DGB 대구은행은 지난달 30일 포항지방해양수산청에 독도등대 근무직원을 위한 후원금 500만원을 전달 후 포항지방수산해양청 여기동 청장, DGB대구은행 환동해본부 박성희 상무, 독도항로표지관리소 소장 엄태일 주무관, 매일신문 동부본부 이춘수 본부장(왼쪽부터)이 기념촬영을 하고 있다./DGB대구은행...  "
387,"대구은행 노조 ""김태오 회장, 거취 결정 내려라""","  대구은행 본점 전경 대구은행 노조가 국제뇌물방지법 위반 등의 혐의로 기소된 DGB금융지주 김태오 회장의 퇴진을 요구했습니다. 전국금융산업노동조합 대구은행지부는 오늘(7일) 발표한 성명을 통해 ""김태오 회장은 최고경영자로서의 책임이 무엇인지 명확히 인식하고, 조속한 시기에 거취에 대한 결정을...  "
388,"DGB대구은행, 지역 의료진 위해 연말 마스크 30만장 지원",  사진=대구은행 DGB대구은행은 연말을 맞이해 대구 관내에서 근무 중인 의료진들을 위한 '의료진 연말 마스크 지원' 전달식을 진행했다고 24일 밝혔다. 23일 수성동 본점에서 전달된 '의료진 연말 마스크 지원' 사업은 최근 오미크론의 확산으로 여전히 격무에 시달리며 일선에서 사투를 벌이는 의료진들을...  
389,대구은행 BC카드 있으면 CU편의점 택배 무제한 할인,  사진= DGB대구은행 제공 DGB대구은행은 택배 이용이 증가하는 연말 시즌을 맞아 대구은행 BC카드 고객이 CU편의점 택배비를 결제할 경우 택배 운임 500원 즉시 할인 혜택을 제공하는 이벤트를 실시한다고 지난 10일 밝혔다. BGF네트웍스와 제휴해 대구은행BC카드(개인) 단독으로 실시하는 이번 행사는...  
390,대구은행 BC카드 있으면 CU편의점 택배 무제한 할인,  사진= DGB대구은행 제공 DGB대구은행은 택배 이용이 증가하는 연말 시즌을 맞아 대구은행 BC카드 고객이 CU편의점 택배비를 결제할 경우 택배 운임 500원 즉시 할인 혜택을 제공하는 이벤트를 실시한다고 지난 10일 밝혔다. BGF네트웍스와 제휴해 대구은행BC카드(개인) 단독으로 실시하는 이번 행사는...  
391,"DGB대구은행 BC카드, CU편의점 택배 할인 이벤트",  오는 3월까지 4개월간 진행 [시장경제=양일국 기자] 사진=DGB대구은행 제공 DGB대구은행은 택배 이용이 증가하는 연말 시즌을 맞아 DGB대구은행 BC카드 고객이 CU편의점 택배비를 결제할 경우 택배 운임 500원을 즉시 할인 이벤트를 진행한다고 10일 밝혔다. BGF네트웍스와 제휴해 DGB대구은행 BC카드...  
392,경북도-대구시-DGB대구은행 소상공인 지원 팔걷어,"  경상북도는 대구시, DGB대구은행과 대구·경북지역 소상공인 및 자영업자의 코로나19 극복 지원에 팔을 걷어붙였다. 이들 3개 기관은 8일 코로나 19로 어려움을 겪는 지역 소상공인과 자영업자 지원을 위한 상생 업무협약을 체결했다. 이들 기관은 협약에서 △공공배달앱인""먹깨비""와 ""대구로""를 통한...  "
393,"대구시-대구은행-경북도, 소상공인 지원 상생협력 업무협약","  대구시는 오는 8일 오전 대구은행 본점에서 권영진 대구시장, 이철우 경북도지사, 임성훈 대구은행장이 참석한 가운데 ‘코로나 극복 지역상생 협력구축을 위한 업무협약’을 체결한다고 7일 밝혔다. 이번 협약을 통해 각 기관은 지역경제의 든든한 버팀목 역할을 하고 있는 소상공인·자영업자들이 경쟁력을...  "
